"mgi_symbol" "synonyms" "n_synonyms" "ensemble_ids" "n_ensembl_ids" "transcript_biotypes" "chromosome_name" "start_position" "end_position" "mgi_description"
"58" "1500005C15Rik" "" 0 "ENSMUSG00000104888" 1 "TEC" "3" "127508283" "127510676" "RIKEN cDNA 1500005C15 gene"
"59" "1500009L16Rik" "" 0 "ENSMUSG00000087651" 1 "protein_coding /// retained_intron" "10" "83558729" "83598626" "RIKEN cDNA 1500009L16 gene"
"60" "1500011B03Rik" "" 0 "ENSMUSG00000072694" 1 "protein_coding /// protein_coding_CDS_not_defined" "5" "114946257" "114961529" "RIKEN cDNA 1500011B03 gene"
"61" "1500012K07Rik" "" 0 "ENSMUSG00000097247" 1 "lncRNA" "7" "74958444" "74981167" "RIKEN cDNA 1500012K07 gene"
"62" "1500015A07Rik" "" 0 "ENSMUSG00000098702" 1 "lncRNA" "18" "61859455" "61868995" "RIKEN cDNA 1500015A07 gene"
"63" "1500015L24Rik" "" 0 "ENSMUSG00000094732" 1 "lncRNA" "19" "20302220" "20422247" "RIKEN cDNA 1500015L24 gene"
"64" "1500026H17Rik" "" 0 "ENSMUSG00000097383" 1 "lncRNA" "10" "89522200" "89536728" "RIKEN cDNA 1500026H17 gene"
"65" "1500032F14Rik" "" 0 "ENSMUSG00000117718" 1 "lncRNA" "19" "4304059" "4307705" "RIKEN cDNA 1500032F14 gene"
"66" "1500035N22Rik" "" 0 "ENSMUSG00000059631" 1 "lncRNA" "5" "25190839" "25203174" "RIKEN cDNA 1500035N22 gene"
"67" "1600002D24Rik" "" 0 "ENSMUSG00000117232" 1 "lncRNA" "16" "95557741" "95730277" "RIKEN cDNA 1600002D24 gene"
"68" "1600010M07Rik" "" 0 "ENSMUSG00000101585" 1 "lncRNA" "7" "109597583" "109750409" "RIKEN cDNA 1600010M07 gene"
"69" "1600012H06Rik" "" 0 "ENSMUSG00000050088" 1 "protein_coding /// protein_coding_CDS_not_defined" "17" "15163446" "15179832" "RIKEN cDNA 1600012H06 gene"
"70" "1600012P17Rik" "" 0 "ENSMUSG00000047661" 1 "lncRNA" "1" "158795271" "158808033" "RIKEN cDNA 1600012P17 gene"
"71" "1600014C10Rik" "" 0 "ENSMUSG00000054676" 1 "protein_coding /// protein_coding_CDS_not_defined" "7" "37882642" "37896992" "RIKEN cDNA 1600014C10 gene"
"72" "1600014C23Rik" "" 0 "ENSMUSG00000094690" 1 "protein_coding /// protein_coding_CDS_not_defined" "17" "46043790" "46044770" "RIKEN cDNA 1600014C23 gene"
"73" "1600017P15Rik" "Gm24413" 1 "ENSMUSG00000102505" 1 "TEC" "3" "30648993" "30649882" "RIKEN cDNA 1600017P15 gene"
"74" "1600019K03Rik" "" 0 "ENSMUSG00000099429" 1 "lncRNA" "16" "35323540" "35329789" "RIKEN cDNA 1600019K03 gene"
"75" "1600020E01Rik" "" 0 "ENSMUSG00000097048" 1 "lncRNA" "6" "86503229" "86559448" "RIKEN cDNA 1600020E01 gene"
"76" "1600022D10Rik" "" 0 "ENSMUSG00000117315" 1 "lncRNA" "17" "71451533" "71488982" "RIKEN cDNA 1600022D10 gene"
"77" "1600023N17Rik" "" 0 "ENSMUSG00000104986" 1 "TEC" "5" "45826044" "45827050" "RIKEN cDNA 1600023N17 gene"
"78" "1600025M17Rik" "" 0 "ENSMUSG00000085114" 1 "lncRNA" "X" "55362968" "55366024" "RIKEN cDNA 1600025M17 gene"
"79" "1600027J07Rik" "" 0 "ENSMUSG00000110340" 1 "lncRNA" "8" "104070510" "104074166" "RIKEN cDNA 1600027J07 gene"
"80" "1600029O15Rik" "" 0 "ENSMUSG00000057818" 1 "transcribed_processed_pseudogene" "9" "58115321" "58115837" "RIKEN cDNA 1600029O15 gene"
"81" "1700001C19Rik" "" 0 "ENSMUSG00000047150" 1 "protein_coding /// protein_coding_CDS_not_defined" "17" "47723659" "47748301" "RIKEN cDNA 1700001C19 gene"
"82" "1700001D01Rik" "" 0 "ENSMUSG00000099419" 1 "lncRNA" "8" "61734556" "61741906" "RIKEN cDNA 1700001D01 gene"
"83" "1700001F09Rik" "" 0 "ENSMUSG00000095384" 1 "protein_coding" "14" "43199840" "43205268" "RIKEN cDNA 1700001F09 gene"
"84" "1700001G01Rik" "" 0 "ENSMUSG00000087170" 1 "lncRNA" "18" "17152108" "17270616" "RIKEN cDNA 1700001G01 gene"
"85" "1700001G11Rik" "" 0 "ENSMUSG00000085984" 1 "lncRNA" "14" "66532771" "66534578" "RIKEN cDNA 1700001G11 gene"
"86" "1700001G17Rik" "" 0 "ENSMUSG00000103746" 1 "TEC" "1" "33708900" "33710163" "RIKEN cDNA 1700001G17 gene"
"87" "1700001J03Rik" "" 0 "ENSMUSG00000095040" 1 "protein_coding /// retained_intron" "5" "146119251" "146122114" "RIKEN cDNA 1700001J03 gene"
"88" "1700001J04Rik" "" 0 "ENSMUSG00000086135" 1 "lncRNA" "11" "114076265" "114077603" "RIKEN cDNA 1700001J04 gene"
"89" "1700001J11Rik" "" 0 "ENSMUSG00000101963" 1 "transcribed_processed_pseudogene" "9" "39961862" "39964324" "RIKEN cDNA 1700001J11 gene"
"90" "1700001K19Rik" "" 0 "ENSMUSG00000056508" 1 "protein_coding" "12" "110634122" "110649053" "RIKEN cDNA 1700001K19 gene"
"91" "1700001K23Rik" "" 0 "ENSMUSG00000118314" 1 "lncRNA" "19" "53237167" "53253836" "RIKEN cDNA 1700001K23 gene"
"92" "1700001L05Rik" "" 0 "ENSMUSG00000075511" 1 "lncRNA" "15" "83238048" "83251483" "RIKEN cDNA 1700001L05 gene"
"93" "1700001N15Rik" "" 0 "ENSMUSG00000106210" 1 "lncRNA" "3" "143115162" "143117293" "RIKEN cDNA 1700001N15 gene"
"94" "1700001O22Rik" "" 0 "ENSMUSG00000044320" 1 "protein_coding_CDS_not_defined /// protein_coding" "2" "30684781" "30693673" "RIKEN cDNA 1700001O22 gene"
"95" "1700001P01Rik" "" 0 "ENSMUSG00000018543" 1 "protein_coding" "11" "97662307" "97666744" "RIKEN cDNA 1700001P01 gene"
"96" "1700003C15Rik" "" 0 "ENSMUSG00000099391" 1 "lncRNA" "5" "11739220" "11819275" "RIKEN cDNA 1700003C15 gene"
"97" "1700003D09Rik" "" 0 "ENSMUSG00000085944" 1 "lncRNA" "11" "98241544" "98249109" "RIKEN cDNA 1700003D09 gene"
"98" "1700003E16Rik" "" 0 "ENSMUSG00000030030" 1 "protein_coding" "6" "83133386" "83139927" "RIKEN cDNA 1700003E16 gene"
"99" "1700003E24Rik" "" 0 "ENSMUSG00000095110" 1 "lncRNA" "X" "92199760" "92200479" "RIKEN cDNA 1700003E24 gene"
"100" "1700003F12Rik" "" 0 "ENSMUSG00000038523" 1 "retained_intron /// protein_coding" "2" "154389005" "154391923" "RIKEN cDNA 1700003F12 gene"
"101" "1700003G18Rik" "" 0 "ENSMUSG00000087621" 1 "lncRNA /// retained_intron" "7" "115680994" "115692394" "RIKEN cDNA 1700003G18 gene"
"102" "1700003H04Rik" "" 0 "ENSMUSG00000039174" 1 "protein_coding /// nonsense_mediated_decay" "3" "124350001" "124374750" "RIKEN cDNA 1700003H04 gene"
"103" "1700003I16Rik" "Gm44368" 1 "ENSMUSG00000107526" 1 "lncRNA" "6" "149100593" "149116683" "RIKEN cDNA 1700003I16 gene"
"104" "1700003I22Rik" "" 0 "ENSMUSG00000100372" 1 "lncRNA" "1" "56058137" "56059362" "RIKEN cDNA 1700003I22 gene"
"105" "1700003L19Rik" "" 0 "ENSMUSG00000101565" 1 "lncRNA" "16" "12618443" "12666517" "RIKEN cDNA 1700003L19 gene"
"106" "1700003M07Rik" "" 0 "ENSMUSG00000085389" 1 "lncRNA" "4" "129854167" "129858931" "RIKEN cDNA 1700003M07 gene"
"107" "1700003N22Rik" "" 0 "ENSMUSG00000102463" 1 "processed_pseudogene" "3" "8527288" "8528095" "RIKEN cDNA 1700003N22 gene"
"108" "1700003O11Rik" "" 0 "ENSMUSG00000118311" 1 "lncRNA" "18" "76147282" "76148748" "RIKEN cDNA 1700003O11 gene"
"109" "1700003P14Rik" "" 0 "ENSMUSG00000100727" 1 "lncRNA" "13" "118691896" "118725240" "RIKEN cDNA 1700003P14 gene"
"110" "1700006A11Rik" "" 0 "ENSMUSG00000027973" 1 "protein_coding /// nonsense_mediated_decay" "3" "124194638" "124219689" "RIKEN cDNA 1700006A11 gene"
"111" "1700006F04Rik" "" 0 "ENSMUSG00000100274" 1 "lncRNA" "14" "119986637" "119988976" "RIKEN cDNA 1700006F04 gene"
"112" "1700006H21Rik" "" 0 "ENSMUSG00000102000" 1 "lncRNA" "13" "107823932" "107828708" "RIKEN cDNA 1700006H21 gene"
"113" "1700006J14Rik" "" 0 "ENSMUSG00000034764" 1 "lncRNA" "10" "120200062" "120220241" "RIKEN cDNA 1700006J14 gene"
"114" "1700006P03Rik" "" 0 "ENSMUSG00000102738" 1 "TEC" "1" "137253172" "137253580" "RIKEN cDNA 1700006P03 gene"
"115" "1700007E05Rik" "" 0 "ENSMUSG00000101234" 1 "transcribed_processed_pseudogene" "16" "31196453" "31197951" "RIKEN cDNA 1700007E05 gene"
"116" "1700007F19Rik" "" 0 "ENSMUSG00000100666" 1 "lncRNA" "3" "58049128" "58071228" "RIKEN cDNA 1700007F19 gene"
"117" "1700007H22Rik" "Gm49571" 1 "ENSMUSG00000116556" 1 "lncRNA" "16" "85936192" "85947564" "RIKEN cDNA 1700007H22 gene"
"118" "1700007J10Rik" "" 0 "ENSMUSG00000086330" 1 "lncRNA" "11" "59616743" "59630980" "RIKEN cDNA 1700007J10 gene"
"119" "1700007L15Rik" "" 0 "ENSMUSG00000097318" 1 "lncRNA" "16" "33193627" "33201138" "RIKEN cDNA 1700007L15 gene"
"120" "1700007M16Rik" "" 0 "ENSMUSG00000086613" 1 "lncRNA" "2" "171075929" "171080911" "RIKEN cDNA 1700007M16 gene"
"121" "1700007P06Rik" "" 0 "ENSMUSG00000089730" 1 "lncRNA" "1" "186857335" "186860049" "RIKEN cDNA 1700007P06 gene"
"122" "1700008A23Rik" "" 0 "ENSMUSG00000103452" 1 "TEC" "9" "99204879" "99205569" "RIKEN cDNA 1700008A23 gene"
"123" "1700008B11Rik" "" 0 "ENSMUSG00000104872" 1 "lncRNA" "5" "121973258" "121973891" "RIKEN cDNA 1700008B11 gene"
"124" "1700008C04Rik" "" 0 "ENSMUSG00000111986" 1 "lncRNA" "12" "51051941" "51109326" "RIKEN cDNA 1700008C04 gene"
"125" "1700008H02Rik" "" 0 "ENSMUSG00000106860" 1 "TEC" "5" "82267526" "82269209" "RIKEN cDNA 1700008H02 gene"
"126" "1700008J07Rik" "" 0 "ENSMUSG00000101225" 1 "lncRNA" "7" "127109610" "127112041" "RIKEN cDNA 1700008J07 gene"
"127" "1700008K24Rik" "" 0 "ENSMUSG00000101012" 1 "lncRNA" "17" "49419291" "49420563" "RIKEN cDNA 1700008K24 gene"
"128" "1700008N11Rik" "" 0 "ENSMUSG00000109657" 1 "lncRNA" "8" "28574856" "28575624" "RIKEN cDNA 1700008N11 gene"
"129" "1700008O03Rik" "" 0 "ENSMUSG00000008028" 1 "protein_coding /// retained_intron /// protein_coding_CDS_not_defined" "7" "44009467" "44035244" "RIKEN cDNA 1700008O03 gene"
"130" "1700008P02Rik" "" 0 "ENSMUSG00000069118" 1 "lncRNA" "3" "6680478" "6685503" "RIKEN cDNA 1700008P02 gene"
"131" "1700009C05Rik" "" 0 "ENSMUSG00000101404" 1 "lncRNA" "6" "81877445" "81887781" "RIKEN cDNA 1700009C05 gene"
"132" "1700009J07Rik" "" 0 "ENSMUSG00000096573" 1 "lncRNA" "10" "77729251" "77731948" "RIKEN cDNA 1700009J07 gene"
"133" "1700009N14Rik" "" 0 "ENSMUSG00000028287" 1 "protein_coding" "4" "39450295" "39451776" "RIKEN cDNA 1700009N14 gene"
"134" "1700010B08Rik" "" 0 "ENSMUSG00000057047" 1 "lncRNA" "2" "173561208" "173563882" "RIKEN cDNA 1700010B08 gene"
"135" "1700010B13Rik" "" 0 "ENSMUSG00000099958" 1 "lncRNA /// retained_intron" "15" "73517701" "73524196" "RIKEN cDNA 1700010B13 gene"
"136" "1700010D01Rik" "" 0 "ENSMUSG00000071721" 1 "lncRNA" "X" "94776192" "94776871" "RIKEN cDNA 1700010D01 gene"
"137" "1700010G06Rik" "" 0 "ENSMUSG00000115752" 1 "lncRNA" "15" "64186346" "64187925" "RIKEN cDNA 1700010G06 gene"
"138" "1700010H22Rik" "" 0 "ENSMUSG00000067101" 1 "lncRNA" "5" "98701488" "98714863" "RIKEN cDNA 1700010H22 gene"
"139" "1700010I02Rik" "" 0 "ENSMUSG00000100010" 1 "lncRNA" "3" "7990363" "8019949" "RIKEN cDNA 1700010I02 gene"
"140" "1700010I14Rik" "" 0 "ENSMUSG00000023873" 1 "protein_coding /// nonsense_mediated_decay" "17" "9207165" "9230781" "RIKEN cDNA 1700010I14 gene"
"141" "1700010J16Rik" "" 0 "ENSMUSG00000100314" 1 "lncRNA" "10" "112562793" "112621507" "RIKEN cDNA 1700010J16 gene"
"142" "1700010K23Rik" "" 0 "ENSMUSG00000092599" 1 "lncRNA" "16" "66454004" "66461512" "RIKEN cDNA 1700010K23 gene"
"143" "1700010K24Rik" "" 0 "ENSMUSG00000085102" 1 "lncRNA" "3" "108156225" "108164301" "RIKEN cDNA 1700010K24 gene"
"144" "1700010L04Rik" "" 0 "ENSMUSG00000030636" 1 "lncRNA" "7" "82500807" "82509057" "RIKEN cDNA 1700010L04 gene"
"145" "1700010N08Rik" "Gm42380" 1 "ENSMUSG00000101855" 1 "transcribed_processed_pseudogene" "7" "38559048" "38559236" "RIKEN cDNA 1700010N08 gene"
"146" "1700011B04Rik" "" 0 "ENSMUSG00000102099" 1 "lncRNA /// retained_intron" "13" "35351910" "35372000" "RIKEN cDNA 1700011B04 gene"
"147" "1700011C11Rik" "" 0 "ENSMUSG00000108800" 1 "lncRNA" "7" "71610921" "71677065" "RIKEN cDNA 1700011C11 gene"
"148" "1700011D18Rik" "" 0 "ENSMUSG00000108791" 1 "lncRNA" "7" "78497002" "78497278" "RIKEN cDNA 1700011D18 gene"
"149" "1700011L03Rik" "" 0 "ENSMUSG00000109759" 1 "lncRNA" "8" "47399830" "47401834" "RIKEN cDNA 1700011L03 gene"
"150" "1700011L22Rik" "" 0 "ENSMUSG00000031682" 1 "protein_coding /// protein_coding_CDS_not_defined" "8" "79937060" "79975199" "RIKEN cDNA 1700011L22 gene"
"151" "1700012A03Rik" "" 0 "ENSMUSG00000029766" 1 "protein_coding_CDS_not_defined /// protein_coding" "6" "32027181" "32035856" "RIKEN cDNA 1700012A03 gene"
"152" "1700012B07Rik" "" 0 "ENSMUSG00000020617" 1 "protein_coding" "11" "109678477" "109718872" "RIKEN cDNA 1700012B07 gene"
"153" "1700012B09Rik" "" 0 "ENSMUSG00000031927" 1 "nonsense_mediated_decay /// protein_coding" "9" "14667883" "14682326" "RIKEN cDNA 1700012B09 gene"
"154" "1700012C08Rik" "" 0 "ENSMUSG00000086482" 1 "lncRNA" "4" "117070531" "117070979" "RIKEN cDNA 1700012C08 gene"
"155" "1700012C14Rik" "" 0 "ENSMUSG00000085470" 1 "lncRNA" "6" "30460127" "30463314" "RIKEN cDNA 1700012C14 gene"
"156" "1700012D16Rik" "" 0 "ENSMUSG00000105023" 1 "lncRNA" "3" "153002141" "153004286" "RIKEN cDNA 1700012D16 gene"
"157" "1700012E03Rik" "" 0 "ENSMUSG00000101275" 1 "lncRNA" "1" "120363534" "120366184" "RIKEN cDNA 1700012E03 gene"
"158" "1700012I11Rik" "" 0 "ENSMUSG00000102069" 1 "lncRNA" "15" "67098618" "67248943" "RIKEN cDNA 1700012I11 gene"
"159" "1700012J15Rik" "Gm44217" 1 "ENSMUSG00000107394" 1 "lncRNA" "6" "7766394" "7777681" "RIKEN cDNA 1700012J15 gene"
"160" "1700012J22Rik" "" 0 "ENSMUSG00000103545" 1 "TEC" "13" "99778482" "99779311" "RIKEN cDNA 1700012J22 gene"
"161" "1700013A02Rik" "" 0 "ENSMUSG00000106899" 1 "TEC" "5" "148490027" "148490671" "RIKEN cDNA 1700013A02 gene"
"162" "1700013D24Rik" "" 0 "ENSMUSG00000079346" 1 "lncRNA" "6" "124324557" "124334028" "RIKEN cDNA 1700013D24 gene"
"163" "1700013G24Rik" "" 0 "ENSMUSG00000041399" 1 "protein_coding" "4" "137180595" "137182772" "RIKEN cDNA 1700013G24 gene"
"164" "1700013H16Rik" "Slx2 /// Xlr6" 2 "ENSMUSG00000054727" 1 "protein_coding" "X" "52744868" "52759798" "RIKEN cDNA 1700013H16 gene"
"165" "1700013M08Rik" "" 0 "ENSMUSG00000106586" 1 "lncRNA" "5" "102622156" "102631155" "RIKEN cDNA 1700013M08 gene"
"166" "1700013N06Rik" "" 0 "ENSMUSG00000085801" 1 "lncRNA" "12" "106804241" "106845100" "RIKEN cDNA 1700013N06 gene"
"167" "1700014B07Rik" "" 0 "ENSMUSG00000118578" 1 "protein_coding" "2" "6327074" "6327891" "RIKEN cDNA 1700014B07 gene"
"168" "1700014D04Rik" "" 0 "ENSMUSG00000051054" 1 "protein_coding" "13" "59888656" "59894566" "RIKEN cDNA 1700014D04 gene"
"169" "1700014F14Rik" "" 0 "ENSMUSG00000105903" 1 "lncRNA" "5" "61098281" "61102992" "RIKEN cDNA 1700014F14 gene"
"170" "1700014L14Rik" "" 0 "ENSMUSG00000110056" 1 "lncRNA" "8" "18369539" "18384354" "RIKEN cDNA 1700014L14 gene"
"171" "1700015C15Rik" "" 0 "ENSMUSG00000113696" 1 "lncRNA" "13" "64575594" "64580216" "RIKEN cDNA 1700015C15 gene"
"172" "1700015C17Rik" "" 0 "ENSMUSG00000104908" 1 "lncRNA" "3" "153172853" "153183847" "RIKEN cDNA 1700015C17 gene"
"173" "1700015H07Rik" "" 0 "ENSMUSG00000115761" 1 "lncRNA" "15" "53485051" "53486666" "RIKEN cDNA 1700015H07 gene"
"174" "1700015I17Rik" "Gm45565" 1 "ENSMUSG00000110335" 1 "lncRNA" "8" "36174814" "36187103" "RIKEN cDNA 1700015I17 gene"
"175" "1700015O11Rik" "" 0 "ENSMUSG00000097671" 1 "lncRNA" "6" "113608610" "113610105" "RIKEN cDNA 1700015O11 gene"
"176" "1700016A09Rik" "" 0 "ENSMUSG00000102737" 1 "TEC" "8" "121263631" "121264465" "RIKEN cDNA 1700016A09 gene"
"177" "1700016B01Rik" "Gm42491" 1 "ENSMUSG00000104538" 1 "lncRNA" "5" "112304103" "112313110" "RIKEN cDNA 1700016B01 gene"
"178" "1700016B15Rik" "" 0 "ENSMUSG00000108979" 1 "TEC" "7" "118339672" "118340404" "RIKEN cDNA 1700016B15 gene"
